Heroes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Anti-Mage,1.1489073,-0.7496591,-0.13115506,-0.22597288,0.71201366,0.26015103,-0.50679606,-0.5298451,0.24937296,0.422463,0.21943663,0.21937156,0.6762868,-0.0746561,-0.33723742,-0.51299924,0.27200285,0.8907776,0.08147105,0.40036994,-0.17865635,0.4402108,0.039685305,0.2756053,0.5751178,-0.19144087,0.9181441,-0.46612194,0.68686527,-0.8030955
Axe,-0.53372127,0.4859395,0.87713647,-0.38003382,-0.31743485,0.76029617,0.534175,0.6616912,-0.08224079,-0.30891597,0.5250565,-0.33756334,-1.2025461,-0.67157084,0.35597804,-0.24289486,-0.629146,-0.37401718,0.4912612,0.14064768,-0.583835,-0.9392749,0.8891286,1.0288013,0.112419285,0.1930421,0.1306254,0.074856594,0.15405677,-0.30582276
Bane,-0.634534,0.1524187,0.53240556,-0.047306288,-0.27720198,-0.38179407,0.43938038,0.26404202,0.5321423,0.9542782,-0.1842655,0.19870707,1.3284833,-0.35838962,-0.71111816,0.45370758,0.266485,-0.32440636,-0.051817436,0.12962644,0.73621625,0.11090759,-0.074504204,0.6768292,0.39387774,0.3040763,-0.47482085,0.37739092,0.37845317,0.22020146
Bloodseeker,0.018746115,-0.08584563,0.4292416,0.13487071,0.41228527,-0.014866911,0.056012474,0.18572856,0.5090698,-0.07893076,-0.13268459,0.103156194,-0.27813604,-0.22497596,-0.42097774,0.25478327,-0.3979417,0.54461545,0.3589091,-0.6024768,-0.2360584,-0.6469166,-0.31669155,0.63660955,0.5891671,0.76569974,0.7445786,-0.011655157,-0.18404923,-0.17333597
Crystal Maiden,0.40513712,0.13025281,0.7712743,-0.09517782,-0.024872882,-0.121007115,0.41195652,-0.025165094,-0.13355789,0.32390657,0.43633482,0.045934353,1.4768486,0.3576468,-0.024101065,0.27880841,1.3878288,0.17341779,-0.23508376,-0.03520478,-0.10436078,0.09153392,-0.56359273,-0.111186355,0.07077395,0.43714714,-0.46328494,0.52685034,0.03496006,0.30791909
Drow Ranger,0.80519134,-0.6803178,-0.34438786,-0.29295206,1.2988546,1.1312883,-0.28415567,-0.4530144,-0.15746807,0.5728857,-0.14553031,0.3995346,0.28559512,0.7179203,-0.5648198,0.37505898,0.6267638,0.9533362,-0.5703349,-0.35188568,-0.43040407,-0.21218105,-0.32069635,0.906619,0.2205258,0.07076172,1.4897333,-0.95453614,-0.21550201,-1.2449046
Earthshaker,0.5339625,0.024235684,0.46737587,1.4633805,0.32972708,-0.6455679,-0.6251467,0.11831295,-0.5639748,-0.9953203,0.6597119,0.04271122,0.42676437,-0.12886009,0.6622528,-0.050987393,0.25504607,-0.43450096,-0.05591747,0.25499696,0.66250813,0.31760627,0.94000757,0.1797276,0.09669572,0.35547867,-0.47786984,0.42812693,0.98579997,-0.83253527
Juggernaut,1.035012,-0.7702764,-0.30943802,-0.640378,0.5108559,0.54225695,-0.69454145,-0.6609008,0.21578129,-0.25367364,0.6877321,0.0456598,0.6950985,0.015140254,-0.8443545,-0.45661014,0.08362701,0.32230616,0.18583126,0.2774118,-0.27021104,0.28395593,0.16730228,0.4438291,0.8386096,-0.17224707,0.78096676,-0.34825295,-0.4316961,-0.9618871
Mirana,0.32246783,-0.1824327,0.40503442,0.47451243,0.94122386,-0.016453747,0.60977876,1.0695667,-0.4152468,0.66211283,0.43422288,0.4216972,0.27158952,-0.2428708,0.6049609,0.15391003,0.14285642,0.82275283,-1.0821081,0.4048785,0.15628953,0.08504127,-0.04439998,-0.41843146,-0.44314325,-0.6772564,0.03738088,0.75763714,-0.5099393,-0.6456355
Morphling,-0.37519622,-0.5147276,0.3581059,-0.5592729,0.41979602,0.008980921,-0.60761565,-0.53875864,-0.001673978,-0.06025177,0.07673558,0.3373275,0.36089396,0.040488407,-0.73022413,-0.31856704,0.17248024,0.5056994,-0.5296845,0.25880656,-0.053556476,0.21721476,0.11525483,-0.06567964,0.5044571,-0.17836422,1.337149,-0.584833,0.11094502,-0.8640931
Shadow Fiend,-0.4783962,-0.14372982,0.3601489,0.49615133,0.21579947,-0.35767457,-0.10678483,0.16743544,-0.45775104,0.053643636,0.50052166,-0.27065322,0.362338,0.16596365,-0.07858451,0.035565224,0.46337476,-0.29872352,-0.9279341,-0.077629,0.2548819,-0.30703372,0.27486056,0.013330617,-0.12416645,0.88391954,0.14528891,0.56669253,0.036752097,0.45308596
Phantom Lancer,0.66811514,-0.8613803,-0.10576891,-0.3857748,0.54285926,0.014404802,-0.69693744,-0.6681708,0.41748318,-0.069693826,0.5502965,0.37732455,0.59885764,-0.22719176,-0.72958195,-0.084365055,-0.43533453,0.6272254,-0.05632869,0.68100274,-0.0414243,0.5711664,0.72398883,0.12523396,0.81245,-0.2453031,1.0622633,-0.35268977,0.30765268,-1.0200274
Puck,-0.5175346,0.38450557,0.36220726,0.030209415,0.13927864,0.2519245,0.001115963,0.27316573,-0.67931455,-0.22050487,0.3446239,-0.049473897,-0.23541881,-0.76799196,-0.02717408,-0.33728442,0.08845531,-0.040170763,-0.87633914,0.3695691,-0.23695599,0.037146147,-0.42677015,0.3023025,-0.024510479,0.6370141,0.42126745,0.8102205,-0.8105032,0.7276303
Pudge,-0.32149982,-0.2703935,0.036922846,0.07961462,0.021671122,0.31109685,0.1489861,0.27657726,-0.05078167,0.2782386,0.2559267,-0.073962264,-0.4042753,-0.308913,-0.067655906,-0.07481821,-1.0239881,0.047597248,0.31093368,0.6405119,0.07666393,-0.9789168,0.32393906,0.9846726,0.26147035,0.21228372,0.7159954,0.24400885,-0.20671451,0.12675548
Razor,-0.2725433,-0.36668897,0.045220837,0.068118125,0.045713432,-0.1761908,0.010855654,0.22431478,-0.33192003,0.12666366,0.3310196,-0.29547226,0.00101932,-0.43397647,-0.33290967,-0.1575215,-0.59627414,-0.12367924,-0.75903076,0.2122813,-0.029532678,-0.07906532,0.058388487,0.073229305,0.08145375,0.4941858,0.92181873,0.6762046,-0.21067016,0.37667516
Sand King,-0.68876415,0.73533094,0.83085465,0.33565345,-0.41917825,0.63010997,0.47333658,0.619535,-0.40075877,-0.09337491,0.2605016,-0.39198095,-1.0327382,-0.6284616,0.19896953,-0.026622768,-0.51299846,-0.38467076,0.5816998,-0.19796874,-0.17623971,-1.1037428,0.10066619,1.3549472,0.026886322,0.470652,-0.069259904,-0.34568688,0.34097084,0.22114787
Storm Spirit,-0.7418419,0.17682871,0.38602242,0.3137351,0.2574007,-0.059945818,0.3387847,0.5531773,-0.6226506,0.07135198,0.22198914,-0.10061952,0.09222547,-0.69617474,0.4245019,0.18669318,0.26307252,-0.10577482,-0.50030625,0.34397528,0.51925033,-0.2887551,-0.82266986,0.53633046,-0.107137345,0.4662872,0.018081436,0.09904288,-0.25576955,0.70795214
Sven,0.8938525,-1.4534583,-0.19781259,-0.35469723,-0.05411036,0.298789,-0.17134729,-0.19301371,-0.28223345,0.6600417,-0.7253938,0.7133596,0.18963684,1.0201432,-0.48108798,-0.30615726,-0.13087553,0.70642,0.30912945,-0.28375545,0.24928094,-0.12809585,-0.9560104,1.336553,0.4690366,-0.13304494,1.9016248,-1.18163,0.3987501,-0.88522035
Tiny,0.18360527,-0.3358787,0.18230799,0.80497307,0.4154193,0.5913465,0.5522084,0.23816048,-1.1342279,-0.23573415,0.081053294,-0.35927868,-0.37910822,-0.19244975,0.8168782,-0.646796,0.43856588,0.29195604,0.083339505,0.37467086,0.3766651,-0.18337812,-0.47279683,0.48385978,-0.15333644,-0.22229977,0.5548674,-0.41042697,0.8942565,-0.34602344
Vengeful Spirit,0.3460874,0.09330644,0.94540584,0.26849025,0.17652318,0.11739376,0.9036316,0.85664034,0.49789566,1.0176015,0.14182508,-0.35793543,0.6644674,0.2483983,0.59450144,0.5311035,1.1016519,0.79053915,0.74094236,-0.2586483,0.7797856,0.2362073,-0.55354947,0.40916383,0.7433531,0.40470636,-0.49398643,0.09954101,0.2466788,0.17681146
Windranger,0.006394186,-0.13131928,0.44691432,0.78999805,0.1822371,-0.090140834,0.59906536,0.6260612,-0.5883634,0.44876805,-0.07644213,-0.11515664,0.030626327,-0.12741624,0.59159803,0.22998258,0.24807324,0.3996594,-0.51205915,-0.10033479,0.47690147,-0.510211,-0.75335443,0.2858432,-0.3281425,0.0768,0.24940099,0.33052784,-0.3793093,-0.1282213
Zeus,0.21602744,-0.1127587,0.3182532,0.53068537,0.6614357,0.040846393,0.59043914,0.7988989,-0.7521146,1.0445994,0.20852232,-0.4687849,0.16963404,0.21374929,0.535589,0.16920415,1.2091304,0.44325137,-0.54501164,-0.20003688,0.60260224,-0.5714182,-0.69299746,0.39903742,-0.26871043,0.18081024,-0.035868406,-0.06283401,-0.06508961,0.5237415
Kunkka,-0.78167534,0.29770562,0.43591836,0.51986164,0.24544854,-0.08989875,0.062464595,0.58421564,-0.42637748,-0.05772277,0.43781093,-0.24240035,0.0968377,-0.35300845,0.37528434,0.23810805,0.24937718,-0.08037698,-0.15809505,0.34762156,0.82061917,-0.15935925,-0.051121894,0.7422568,0.2093578,0.35428044,-0.1805244,0.08822959,0.29212043,0.5562743
Lina,-0.26387995,-0.44809878,0.3396736,0.28426534,0.80715847,0.3843798,1.0949925,0.5844591,-0.6519187,0.9329775,0.08091725,0.42392027,-0.22618663,-0.47618395,0.7534819,0.16999352,-0.10447901,0.4939218,-0.70727116,0.46487102,0.199298,-0.46268547,-0.6622624,0.036964744,-0.4851308,-0.000782061,0.77819735,0.31784016,-0.44417584,0.38463554
Lion,-0.43999407,-0.16604345,0.54112166,-0.6279899,-0.9513963,-0.033876255,0.48406655,1.1920936,-0.3202942,0.6946972,0.59687936,-0.069126494,0.5237394,-0.7523026,0.20891899,0.18990754,-1.212849,-0.05439097,-0.91492,0.83182454,0.36123285,-0.41562492,-0.990877,0.3172948,-0.5040668,-1.6964138,-0.22351405,0.21856678,-0.08066379,-0.67049265
Shadow Shaman,0.43242446,-0.49298233,0.4879049,0.15484731,-0.09081428,-0.8081829,0.3295089,0.35313767,-0.48818436,-0.5782681,0.6786746,-0.06395374,0.7627683,0.28055495,0.432321,0.48991194,0.2943372,0.06826193,-0.8158328,0.4775468,0.09239083,0.21932721,-0.5566937,-0.21602763,-0.61205006,-0.19787177,-0.000443456,0.6655156,-0.069348164,-0.81206197
Slardar,-0.11657143,-0.39331394,0.92474556,1.2061671,-0.5773926,0.02252748,0.64251375,0.20438457,-1.1122956,-0.006186384,-0.20182794,-1.1910217,-1.1412834,0.5716492,0.28267556,-0.6374987,-0.14113654,-0.24612984,0.4988846,-1.4891281,-0.109885015,-0.81835955,0.019030698,0.5770855,-0.07682439,1.142467,0.695778,-0.11075666,0.57859963,-0.37974274
Tidehunter,-0.1958089,1.0475389,1.2615669,0.46717227,-0.14825875,0.07728172,0.20266597,0.70968145,-0.06386706,-0.8574594,0.09127237,-0.065681584,-1.0532634,-0.386905,0.23889644,0.35718623,-0.5449808,-0.062946096,0.9803583,-0.4844369,-0.1326691,-1.2096225,0.013925816,1.2379168,0.3112835,0.5449371,0.15783134,-0.07601426,-0.68403304,-0.13452797
Witch Doctor,0.081024535,0.28823668,0.77478075,-0.06735336,-0.16936813,-0.077386506,0.38526416,-0.20346761,0.00267205,0.2724789,0.46071032,0.0191898,1.2126808,-0.30460456,-0.26271164,0.044417243,0.996924,-0.029886728,-0.3696047,-0.007055007,0.002871583,0.25128627,-0.4057459,0.029521234,0.18333161,0.5266076,-0.8880492,0.49873114,0.41327325,0.38282254
Lich,-0.25720948,-0.61289585,0.70242673,-0.07289447,-0.5071514,-0.31127274,0.097551785,-0.52953357,-0.2269856,0.5888598,0.51220614,-0.24884228,1.3088071,-0.041701443,-0.8063065,-0.40924346,0.7470174,-0.49206135,-0.6979051,-0.76561457,0.46339983,-0.5346877,-0.20651644,-0.81974775,-0.043515984,0.4793573,-0.18573341,0.25077644,0.614162,0.4789533
Riki,0.6986302,-0.9902811,-0.2452697,-0.4478067,0.2659729,-0.15223064,-0.8939752,-1.0052472,0.32160065,-0.52047914,0.64388734,0.030036839,0.68767947,-0.66774684,-1.076345,-0.34338388,-0.05158453,0.10693598,-0.08579236,0.5218672,0.34924987,0.6744613,0.36014682,-0.084624946,1.0551473,0.26386705,0.51567477,0.08348312,0.06886139,-0.6577601
Enigma,0.1088859,0.529166,0.8386643,0.112955384,-0.34196123,-0.9927392,-0.28272852,0.68534076,0.23336965,-0.6819739,0.41598672,-0.07285029,0.16464888,-0.88476676,-0.110419974,0.19106229,0.19767886,-0.13823062,-0.76803184,-0.08069385,-0.40097678,-0.28839603,-0.004408224,0.16215552,-0.09488505,0.481837,-0.7222125,0.6463621,-0.14269817,-0.2367122
Tinker,-0.52157366,-0.09553494,0.30239686,0.3209069,0.09276471,-0.1354481,0.30613926,0.3510962,-0.0565694,0.70744,0.079901375,0.08474063,0.42438614,-0.46898326,-0.15397008,0.33765945,-0.6743079,-0.20422842,-0.1271371,0.35752767,0.59234726,-0.76999295,-0.32101473,0.6262696,-0.06627701,0.20518562,0.31469697,0.17400728,-0.20289594,0.43113023
Sniper,-0.15145077,-0.18323317,0.3456941,0.5063109,0.41486633,-0.38077247,0.04956597,-0.087620325,-0.21371481,0.2554516,0.25622043,0.023401896,0.4653456,-0.04516869,-0.15851417,0.32398224,0.11297213,-0.33536342,-0.65775156,0.51792467,0.56604886,-0.23507112,0.5038249,0.119888686,0.08361638,0.42873108,0.104256436,0.38650888,-0.23806238,-0.18532595
Necrophos,-0.121392675,0.3380726,1.0295455,0.57939404,0.4769928,-0.9185112,-0.46951973,0.2803078,-0.036750544,-0.074955076,0.6635373,-0.22904047,-0.25790384,-0.44782826,0.12307377,-0.3315276,0.57523257,-0.048394743,-0.65483564,-0.4540548,0.17125903,-0.24255577,0.508167,-0.13916218,0.20450099,0.7704144,-0.50765723,0.3519693,0.2097766,0.20827742
Warlock,0.2838874,0.09711419,0.67620283,-0.25754532,-0.038827866,0.6869983,0.60935146,0.3063378,-0.26854855,1.1181151,0.47365403,-0.20032506,0.9504008,-0.092686206,0.15811136,-0.5070008,0.42399457,0.2999734,-0.15216285,0.208112,-0.20887524,-0.16249731,-1.0641946,-0.08305335,0.08856043,-0.17216077,-0.15709592,0.46395138,0.2683319,0.85172963
Beastmaster,-0.15134183,0.73570585,0.87814945,0.5559959,0.31354275,-0.43421128,0.2143589,0.6967914,0.04670473,-0.7636948,0.3553883,-0.5125528,-0.8233527,-0.34931275,-0.07429311,0.15911303,0.33030966,-0.51330876,-0.17462212,-0.37176514,-0.12701377,-0.42393285,1.0895618,0.66114795,0.19426486,0.81534076,0.05018862,-0.19501728,0.10891375,-0.4049572
Queen of Pain,-0.28288603,0.2679685,0.48897263,0.42893356,0.9523984,-0.64496136,0.21936052,0.28869554,-0.5988592,-0.012578684,0.73379683,0.11992109,0.16599739,-0.5073439,0.23086053,0.06028859,1.0111042,0.004735227,-1.0880852,0.09505228,0.4656466,-0.07146835,0.25377175,-0.16114804,0.003097477,0.7237002,-0.32245576,0.18122903,-0.17242672,0.7514827
Venomancer,0.17547023,0.43189186,0.9768072,0.28636384,0.12092305,-0.39525777,-0.2972191,0.23999996,-0.21443899,0.4564788,0.55934936,-0.27059314,-0.2998066,-0.23594785,0.19746134,-0.015566492,0.8104473,0.38436398,-0.7343206,-0.9771788,-0.051160228,-0.75688404,-0.017555386,0.15421975,-0.17400542,0.5553992,-0.41761962,-0.001423513,0.002690639,0.060746353
Faceless Void,0.30425724,-1.0221237,0.035727855,-0.44253322,0.59952086,0.7666011,-0.20169275,-0.38052982,0.09039451,0.28114247,0.09942962,0.02329295,-0.12833363,0.24037598,-0.28367507,-0.7666071,-0.22196329,0.9020598,0.3766568,-0.18591571,-0.28560504,0.8452002,-0.12184152,0.7622973,1.0304209,-0.18703102,1.3913056,-0.72567993,0.44028872,-1.0202032
Wraith King,0.087095,-0.7249936,-0.28959987,-0.71868813,0.052357305,0.4569196,-0.6292812,-0.98002034,0.02199982,-0.47135332,0.8721638,0.22875507,0.23437773,-0.53404343,-1.1410164,-0.34714407,-0.2363012,0.059383042,-0.13273792,1.0185146,-0.047046658,0.29276106,0.08166261,0.34063137,0.68182546,-0.6290895,1.0077134,-0.51142997,0.043879557,-0.8400389
Death Prophet,-0.5083743,0.2409778,0.50450575,0.050806325,0.35453746,-0.4651489,-0.38371032,0.25508094,-0.7161556,-0.61711,0.38168955,0.20958877,-0.5070635,-0.6666864,0.048655707,0.17026193,0.47934312,-0.04313274,-0.9550879,0.36199373,-0.10351879,-0.14956445,-0.4503534,0.31592602,0.19070855,0.8116965,0.021639645,0.2201594,-0.52008873,0.5781973
Phantom Assassin,0.8355294,-1.1114049,-0.12777333,-0.31006673,0.524475,0.48577595,0.042077314,-0.4813718,0.35619152,0.24033463,0.20757383,0.26142204,0.5952581,0.06761486,-0.9142577,0.036598843,0.17696069,0.75337815,0.061772253,0.10227258,0.14998713,0.343104,-0.7776017,0.2964215,0.6539954,-0.5642739,1.2071377,-0.8487855,-0.12504722,-0.9915209
Pugna,0.33262706,-0.057982214,0.39070398,0.4373442,0.1954169,-0.6622069,0.038609225,0.10142965,-0.35709274,0.08038431,0.8133337,-0.44018775,0.13313234,0.41668427,-0.20214592,-0.19232062,0.83301055,0.09552117,-0.8252152,-0.08796846,-0.002094774,0.2046292,0.22133301,-0.16747929,0.19430456,0.8139131,-0.2289499,0.8263197,-0.013919598,0.159108
Templar Assassin,-0.9170185,-0.31492773,0.32888797,-0.106583096,0.010982919,0.18365243,0.10599597,0.012508556,-0.66630995,0.2903675,0.48360416,0.05834334,0.27963954,-0.16131228,0.14100231,-0.030294614,-0.100265875,-0.107998274,-0.45097303,0.75252724,-0.14126843,-0.48302343,-0.09553039,0.051314868,0.17540038,0.13529289,0.46017337,0.10540463,0.038867194,0.45840308
Viper,-0.36896357,0.3655382,0.6843495,-0.047889944,0.005116531,-0.028408844,0.4708341,0.89273214,-0.20227145,0.23285949,0.28500855,-0.30118877,-0.4072506,-0.38405606,0.25232247,0.36109823,0.023855777,0.3051675,-0.6616034,-0.47642958,-0.27622443,-0.7109374,-1.0661962,0.64326423,-0.28018403,0.3213175,0.036323443,-0.02089839,-0.2745462,0.23839203
Luna,-0.21332903,-0.20489708,-0.5903573,-0.8611688,0.6018074,0.69715476,-0.699638,-0.17943867,0.2138326,0.30056044,-0.13271539,1.4531181,0.035770807,-0.07171369,-0.8294685,-0.040544275,-0.9613648,0.8166826,-0.508806,1.6444035,-0.69993854,-0.52745664,0.41586825,1.176049,0.6459758,-0.60328615,1.3057957,-0.51615274,-0.20817256,-1.1142007
Dragon Knight,-0.72374445,0.42922267,0.63420314,-0.288888,-0.34729937,0.29623488,-0.3855841,0.39100108,-0.27053055,-1.1166122,0.40741497,0.041433387,-0.715203,-1.0173078,0.09727868,-0.2105533,0.062119517,-0.40203676,0.21326949,0.98251796,-0.115679234,-0.23310825,0.42472762,0.95316446,0.515862,-0.15801452,0.074874066,-0.1250192,0.5303725,-0.09192232
Dazzle,-0.120726004,0.14369057,0.52429146,0.18205565,0.19769424,-0.7961052,-0.61772513,-0.14566666,-0.103550635,0.042665243,0.6235828,-0.27223384,0.45725495,0.061752412,-0.17457741,-0.00742628,0.3881972,-0.22270913,-0.8159995,0.20454335,0.09905868,-0.048454843,0.47457054,-0.064166844,0.40487266,0.89304733,-0.24201652,0.73573804,-0.10976046,0.1538691
Clockwerk,0.08119633,0.075439736,0.4538875,0.842859,-0.19827278,0.53723943,0.51745,0.18337981,-0.7727736,-0.21790376,0.48436365,-0.19480963,0.48685488,-0.023803229,0.43346447,-0.64005417,0.41125512,-0.10956668,0.47265992,0.32379526,0.22516493,-0.03006591,0.10636949,0.047967684,0.39480808,-0.04341179,-0.07075944,0.14652936,0.7943879,-0.03995441
Leshrac,-0.5650348,0.08348824,0.45223564,0.09928425,0.2944841,0.23669277,-0.25968075,0.49159908,-0.8167363,0.2631925,0.11239029,0.13367543,-0.50118864,0.002809581,0.3230476,0.1361777,0.65591025,0.33314013,-0.87314874,-0.17649901,0.057071492,-1.0016544,-0.3762919,0.55109984,-0.3245423,0.59311056,0.48234454,0.13371664,-0.6243655,0.48299813
Nature's Prophet,0.58998114,0.34482577,0.69658095,-0.29988214,0.6316986,-0.87303466,-0.7884395,0.049690053,0.30780515,-0.37874863,0.3719477,-0.56470245,-0.36457503,-0.25309807,-0.3754247,0.016185516,1.1499778,0.6081223,-0.8434377,-0.42903337,-0.44445965,0.13122833,0.36879018,0.21741898,0.31716064,0.87158984,0.052750863,0.1472912,-0.08383394,-0.4904096
Lifestealer,0.6843302,-1.4157544,-0.4457569,-0.52474,0.34171292,0.82674456,-0.17592643,-0.49910155,0.21937892,0.62658966,0.49374217,-0.059749052,0.5458245,-0.028641144,-0.62462217,-0.5671785,-0.45609036,0.732698,0.3492985,0.010279768,-0.1879195,0.10889989,-0.11617062,0.068277605,0.6984764,0.04921823,1.256567,-0.420959,0.27420217,-0.7377945
Dark Seer,-0.26908758,0.2738488,0.9962756,-0.27389333,-0.16527514,-0.15020339,-0.08712675,0.8425644,-0.01756064,0.7801789,0.7941865,-0.43352765,-0.93121195,-1.228986,0.10374452,0.07748966,0.11314263,0.43568543,-0.5768214,-1.1012006,-0.7281872,-1.080462,-0.21523365,0.04103781,-0.38697863,0.03889762,-0.358796,0.593417,-0.17767675,0.11418695
Clinkz,0.3533604,-0.11600394,0.034498964,-0.00345317,0.84845275,-0.27054542,-0.64160925,-0.197399,0.29212192,0.22416712,-0.021024112,0.58735555,0.52401996,0.039149493,-0.54514825,0.5528382,0.2674649,0.32238296,-0.65558255,0.115409814,0.39427653,-0.1826427,0.48456177,0.43303588,0.4630296,0.60353374,0.5527514,-0.01357419,-0.32217628,-0.5658141
Omniknight,0.124322295,-0.28161466,0.22800471,0.6144241,0.054241594,0.18072972,1.092671,0.5177285,0.5535381,0.3955522,0.269788,-0.90466386,0.96932155,-0.984458,-0.054839045,-0.34877196,-0.3584304,-0.091376916,1.594275,-0.85418254,0.37951833,-1.4456869,-0.40958247,-0.072670974,-0.18296914,0.679675,0.4517474,0.3475944,-0.097545825,0.19550133
Enchantress,-0.123279534,-0.2403304,0.67423666,-0.5043787,-0.5121415,0.18717079,0.452848,0.05288052,0.1109201,0.70144826,0.23205566,-0.006068055,0.86904633,-0.2843291,-0.37678728,-0.2952678,0.4467581,0.2228386,-0.1514608,0.07478898,-0.31037512,0.08948132,-0.88057256,0.21405292,0.41407025,0.009466613,-0.43050262,0.497263,0.3322024,0.51802623
Huskar,-0.20271131,-0.5789233,0.31759733,0.35018784,-0.09432664,-0.49717087,-0.2805346,-0.26865315,-0.5052227,0.000178332,0.54357916,-0.07964569,0.45591086,0.105696075,-0.24839765,-0.301229,-0.26629302,-0.3637104,-0.6702818,0.055060543,0.42922977,-0.09878149,0.5383058,-0.3294378,0.24769631,0.68579733,0.40103966,0.6366091,0.11060159,0.08895832
Night Stalker,-0.29192346,0.17744139,0.49856946,0.63031733,-0.12063933,-0.30420107,0.5257522,1.0767707,0.08879264,-0.05863185,-0.073337056,-0.20850357,-0.8563559,-0.6919871,0.16396956,0.33189163,-0.6667764,-0.12186333,0.82019824,-0.2964199,0.4135037,-1.4461305,0.11306317,1.2289224,-0.014330465,0.57794696,0.5134096,-0.24674942,-0.34743303,0.15788063
